"Laikotarpis","Rodiklis","Apskritys","Lytis","Amžius (15–24 ir vyresni)","Matavimo vienetai","Reikšmė"
"2009","Nedarbo lygis","Panevėžio apskritis","Vyrai ir moterys","15–24","proc.","41.8"
"2010","Nedarbo lygis","Panevėžio apskritis","Vyrai ir moterys","15–24","proc.","45.6"
"2011","Nedarbo lygis","Panevėžio apskritis","Vyrai ir moterys","15–24","proc.","41.9"
"2012","Nedarbo lygis","Panevėžio apskritis","Vyrai ir moterys","15–24","proc.","43.6"
"2013","Nedarbo lygis","Panevėžio apskritis","Vyrai ir moterys","15–24","proc.","29.3"
"2014","Nedarbo lygis","Panevėžio apskritis","Vyrai ir moterys","15–24","proc.","28.4"
"2015","Nedarbo lygis","Panevėžio apskritis","Vyrai ir moterys","15–24","proc.","25.0"
"2016","Nedarbo lygis","Panevėžio apskritis","Vyrai ir moterys","15–24","proc.","13.9"
"2017","Nedarbo lygis","Panevėžio apskritis","Vyrai ir moterys","15–24","proc.","22.8"
"2018","Nedarbo lygis","Panevėžio apskritis","Vyrai ir moterys","15–24","proc.","17.4"
"2009","Nedarbo lygis","Šiaulių apskritis","Vyrai ir moterys","15–24","proc.","33.6"
"2010","Nedarbo lygis","Šiaulių apskritis","Vyrai ir moterys","15–24","proc.","37.4"
"2011","Nedarbo lygis","Šiaulių apskritis","Vyrai ir moterys","15–24","proc.","42.4"
"2012","Nedarbo lygis","Šiaulių apskritis","Vyrai ir moterys","15–24","proc.","27.7"
"2013","Nedarbo lygis","Šiaulių apskritis","Vyrai ir moterys","15–24","proc.","34.0"
"2014","Nedarbo lygis","Šiaulių apskritis","Vyrai ir moterys","15–24","proc.","27.0"
"2015","Nedarbo lygis","Šiaulių apskritis","Vyrai ir moterys","15–24","proc.","25.6"
"2016","Nedarbo lygis","Šiaulių apskritis","Vyrai ir moterys","15–24","proc.","14.5"
"2017","Nedarbo lygis","Šiaulių apskritis","Vyrai ir moterys","15–24","proc.","23.6"
"2018","Nedarbo lygis","Šiaulių apskritis","Vyrai ir moterys","15–24","proc.","13.1"
"2009","Nedarbo lygis","Tauragės apskritis","Vyrai ir moterys","15–24","proc.",
"2010","Nedarbo lygis","Tauragės apskritis","Vyrai ir moterys","15–24","proc.","35.7"
"2011","Nedarbo lygis","Tauragės apskritis","Vyrai ir moterys","15–24","proc.","28.9"
"2012","Nedarbo lygis","Tauragės apskritis","Vyrai ir moterys","15–24","proc.","34.1"
"2013","Nedarbo lygis","Tauragės apskritis","Vyrai ir moterys","15–24","proc.","20.6"
"2014","Nedarbo lygis","Tauragės apskritis","Vyrai ir moterys","15–24","proc.","30.0"
"2015","Nedarbo lygis","Tauragės apskritis","Vyrai ir moterys","15–24","proc.",
"2016","Nedarbo lygis","Tauragės apskritis","Vyrai ir moterys","15–24","proc.",
"2017","Nedarbo lygis","Tauragės apskritis","Vyrai ir moterys","15–24","proc.",
"2018","Nedarbo lygis","Tauragės apskritis","Vyrai ir moterys","15–24","proc.",
"2009","Nedarbo lygis","Telšių apskritis","Vyrai ir moterys","15–24","proc.","41.8"
"2010","Nedarbo lygis","Telšių apskritis","Vyrai ir moterys","15–24","proc.","54.5"
"2011","Nedarbo lygis","Telšių apskritis","Vyrai ir moterys","15–24","proc.","44.6"
"2012","Nedarbo lygis","Telšių apskritis","Vyrai ir moterys","15–24","proc.","30.8"
"2013","Nedarbo lygis","Telšių apskritis","Vyrai ir moterys","15–24","proc.","27.6"
"2014","Nedarbo lygis","Telšių apskritis","Vyrai ir moterys","15–24","proc.","16.8"
"2015","Nedarbo lygis","Telšių apskritis","Vyrai ir moterys","15–24","proc.","15.1"
"2016","Nedarbo lygis","Telšių apskritis","Vyrai ir moterys","15–24","proc.","21.0"
"2017","Nedarbo lygis","Telšių apskritis","Vyrai ir moterys","15–24","proc.","15.1"
"2018","Nedarbo lygis","Telšių apskritis","Vyrai ir moterys","15–24","proc.","17.5"
"2009","Nedarbo lygis","Utenos apskritis","Vyrai ir moterys","15–24","proc.","21.6"
"2010","Nedarbo lygis","Utenos apskritis","Vyrai ir moterys","15–24","proc.","42.3"
"2011","Nedarbo lygis","Utenos apskritis","Vyrai ir moterys","15–24","proc.","53.0"
"2012","Nedarbo lygis","Utenos apskritis","Vyrai ir moterys","15–24","proc.","40.9"
"2013","Nedarbo lygis","Utenos apskritis","Vyrai ir moterys","15–24","proc.","38.5"
"2014","Nedarbo lygis","Utenos apskritis","Vyrai ir moterys","15–24","proc.","29.0"
"2015","Nedarbo lygis","Utenos apskritis","Vyrai ir moterys","15–24","proc.","28.9"
"2016","Nedarbo lygis","Utenos apskritis","Vyrai ir moterys","15–24","proc.","33.4"
"2017","Nedarbo lygis","Utenos apskritis","Vyrai ir moterys","15–24","proc.","30.6"
"2018","Nedarbo lygis","Utenos apskritis","Vyrai ir moterys","15–24","proc.","32.6"
